iter	Passed	Remaining
209	3938	3563
210	3959	3546
211	3979	3528
212	3996	3508
213	4016	3490
214	4037	3473
215	4057	3456
216	4078	3439
217	4099	3422
218	4124	3408
219	4151	3396
220	4170	3377
221	4188	3357
222	4205	3337
223	4222	3317
224	4239	3297
225	4257	3277
226	4274	3257
227	4291	3237
228	4309	3217
229	4326	3197
230	4344	3178
231	4361	3158
232	4381	3140
233	4398	3120
234	4416	3101
235	4435	3082
236	4453	3062
237	4470	3043
238	4488	3023
239	4506	3004
240	4524	2984
241	4542	2965
242	4560	2946
243	4578	2927
244	4596	2908
245	4615	2889
246	4633	2870
247	4651	2850
248	4669	2831
249	4687	2812
250	4706	2793
251	4724	2774
252	4745	2757
253	4770	2742
254	4797	2727
255	4815	2708
256	4832	2688
257	4851	2670
258	4869	2650
259	4887	2631
260	4904	2612
261	4922	2592
262	4940	2573
263	4958	2554
264	4976	2534
265	4993	2515
266	5011	2496
267	5029	2477
268	5048	2458
269	5065	2439
270	5083	2419
271	5104	2401
272	5124	2383
273	5148	2367
274	5168	2349
275	5188	2331
276	5211	2314
277	5237	2298
278	5259	2281
279	5284	2264
280	5305	2246
281	5331	2231
282	5349	2211
283	5367	2192
284	5385	2173
285	5403	2153
286	5420	2134
287	5438	2114
288	5455	2095
289	5473	2076
290	5491	2057
291	5510	2037
292	5527	2018
293	5545	1999
294	5563	1980
295	5581	1961
296	5599	1942
297	5617	1922
298	5635	1903
299	5655	1885
300	5677	1867
301	5695	1848
302	5713	1829
303	5731	1810
304	5750	1791
305	5768	1771
306	5785	1752
307	5803	1733
308	5821	1714
309	5839	1695
310	5857	1676
311	5875	1657
312	5893	1638
313	5911	1619
314	5929	1600
315	5946	1580
316	5964	1561
317	5982	1542
318	6000	1523
319	6018	1504
320	6036	1485
321	6053	1466
322	6072	1447
323	6094	1429
324	6113	1410
325	6131	1391
326	6151	1373
327	6168	1354
328	6187	1335
329	6205	1316
330	6223	1297
331	6241	1278
332	6258	1259
333	6276	1240
334	6294	1221
335	6312	1202
336	6329	1183
337	6347	1164
338	6365	1145
339	6383	1126
340	6400	1107
341	6419	1088
342	6438	1069
343	6456	1051
344	6473	1032
345	6491	1013
346	6508	994
347	6526	975
348	6544	956
349	6562	937
350	6582	918
351	6601	900
352	6618	881
353	6636	862
354	6654	843
355	6673	824
356	6691	806
357	6710	787
358	6728	768
359	6747	749
360	6771	731
361	6790	712
362	6809	694
363	6827	675
364	6847	656
365	6865	637
366	6883	618
367	6901	600
368	6918	581
369	6937	562
370	6956	543
371	6974	524
372	6992	506
373	7010	487
374	7028	468
375	7047	449
376	7064	431
377	7084	412
378	7105	393
379	7125	375
380	7143	356
381	7161	337
382	7179	318
383	7201	300
384	7221	281
385	7240	262
386	7259	243
387	7278	225
388	7297	206
389	7316	187
390	7335	168
391	7353	150
392	7373	131
393	7390	112
394	7411	93
395	7433	75
396	7451	56
397	7470	37
398	7488	18
399	7506	0
